Species,Common_Name,Original_Assembly_Name,Trimmed_Taxon_Name,Tree_Leaf_Name
Mustela eversmannii,Steppe polecat,HLmusEve1,musEve,musEve
Mustela nigripes,black-footed ferret,HLmusNig1,musNig,musNig
Mustela putorius furo,domestic ferret,HLmusFur2,musFur,musFur
Mustela lutreola,European mink,HLmusLut1,musLut,musLut
Mustela nivalis,Least weasel,HLmusNiva2A,musNiva,musNiva
Mustela erminea,ermine,HLmusErm1,musErm,musErm
Mustela strigidorsa,Black-striped weasel,HLmusStr1,musStr,musStr
Neogale vison,American mink,HLneoViso3A,neoViso,neoViso
Lontra canadensis,Northern American river otter,HLlonCan1,lonCan,lonCan
Enhydra lutris kenyoni,sea otter,enhLutKen1,enhLutKen,enhLutKen
Enhydra lutris nereis,sea otter,enhLutNer1,enhLutNer,enhLutNer
Lutra lutra,Eurasian river otter,HLlutLut1,lutLut,lutLut
Aonyx cinereus,Asian small-clawed otter,HLaonCin1,aonCin,aonCin
Pteronura brasiliensis,giant otter,HLpteBra2,pteBra,pteBra
Pekania pennanti,Fisher,HLpekPenn1,pekPenn,pekPenn
Martes martes,European pine marten,HLmarMart2,marMart,marMart
Martes zibellina,sable,HLmarZib1,marZib,marZib
Martes foina,beach marten,HLmarFoi1,marFoi,marFoi
Martes flavigula,yellow-throated marten,HLmarFlv1,marFlv,marFlv
Gulo gulo luscus,American wolverine,HLgulGulLus2,gulGulLus,gulGulLus
Eira barbara,Tayra,HLeirBar1,eirBar,eirBar
Mellivora capensis,ratel,HLmelCap1,melCap,melCap
Meles meles,Eurasian badger,HLmeeMel1,meeMel,meeMel
Taxidea taxus jeffersonii,American badger,HLtaxTax1,taxTax,taxTax
Bassariscus sumichrasti,Cacomistle,HLbasSum1,basSum,basSum
Bassariscus astutus,ringtail,HLbasAst1,basAst,basAst
Procyon lotor,raccoon,HLproLot1,proLot,proLot
Nasua narica,White-nosed coati,HLnasNar1,nasNar,nasNar
Potos flavus,kinkajou,HLpotFla1,potFla,potFla
Ailurus fulgens,lesser panda,HLailFul2,ailFul,ailFul
Spilogale gracilis,western spotted skunk,HLspiGra1,spiGra,spiGra
Spilogale interrupta,plains spotted skunk,HLspiInt1,spiInt,spiInt
Pusa saimensis,Ringed seal,HLpusHisSai1,pusHisSai,pusHisSai
Pusa hispida botnica,Ringed seal,HLpusHisBot1,pusHisBot,pusHisBot
Pusa sibirica,Baikal seal,HLpusSib1,pusSib,pusSib
Halichoerus grypus,Gray seal,HLhalGryp3A,halGryp,halGryp
Phoca vitulina,harbor seal,HLphoVit1,phoVit,phoVit
