Species,Common_Name,Directory_Name,NCBI_Accession,Assembly_Status,Contig_N50,Scaffold_N50,Intact_ORFs
Acanthisitta chloris,rifleman,Acanthisitta_chloris__rifleman__HLacaChl2__GCA_016904835.1,GCA_016904835.1,Chromosome,16681756,40827287,
Acanthiza pusilla,brown thornbill,Acanthiza_pusilla__brown_thornbill__HLacaPus1__GCA_041053275.1,GCA_041053275.1,,105781,2883131,
Acanthornis magna,Scrubtit,Acanthornis_magna__Scrubtit__HLacaMagn1__GCA_036785705.1,GCA_036785705.1,Contig,7715064,7715064,
Accipiter cooperii,Coopers hawk,Accipiter_cooperii__Coopers_hawk__HLaccCoo1__GCA_024222105.1,GCA_024222105.1,Scaffold,5194,35883487,
Accipiter gentilis,Northern goshawk,Accipiter_gentilis__Northern_goshawk__HLaccGen2__GCA_929443795.1,GCA_929443795.1,Chromosome,17712854,35025567,
Accipiter gularis,Japanese sparrowhawk,Accipiter_gularis__Japanese_sparrowhawk__HLaccGula1__GCA_046127185.1,GCA_046127185.1,Chromosome,120487,43192241,
Accipiter hiogaster,Variable goshawk,Accipiter_hiogaster__Variable_goshawk__HLaccHio1__GCA_024363185.1,GCA_024363185.1,Scaffold,10998,36339272,
Accipiter melanochlamys,Black-mantled goshawk,Accipiter_melanochlamys__Black-mantled_goshawk__HLaccMela1__GCA_027497775.1,GCA_027497775.1,Scaffold,17712854,35025567,
Acinonyx jubatus,cheetah,Acinonyx_jubatus__cheetah__HLaciJub3__GCF_027475565.1,GCF_027475565.1,Chromosome,96827784,144444042,15038.0
Acomys cahirinus,Egyptian spiny mouse,Acomys_cahirinus__Egyptian_spiny_mouse__HLacoCah1__GCA_004027535.1,GCA_004027535.1,Scaffold,42476,65411,13578.0
Acomys dimidiatus,Eastern spiny mouse,Acomys_dimidiatus__Eastern_spiny_mouse__HLacoDim1__GCA_907164435.1,GCA_907164435.1,Chromosome,33040,124365287,14220.0
Acomys kempi,Kemps spiny mouse,Acomys_kempi__Kemps_spiny_mouse__HLacoKem1__GCA_907164505.1,GCA_907164505.1,Chromosome,33625,125230826,13999.0
Acomys minous,Crete spiny mouse,Acomys_minous__Crete_spiny_mouse__HLacoMin1__GCA_964271855.1,GCA_964271855.1,Chromosome,29281624,122851966,14840.0
Acomys percivali,Percivals spiny mouse,Acomys_percivali__Percivals_spiny_mouse__HLacoPer1__GCA_907169655.1,GCA_907169655.1,Chromosome,26477,126270630,13905.0
Acomys russatus,golden spiny mouse,Acomys_russatus__golden_spiny_mouse__HLacoRus1__GCA_903995435.1,GCA_903995435.1,Chromosome,4450755,66475698,14490.0
Acridotheres javanicus,Javan myna,Acridotheres_javanicus__Javan_myna__HLacrJav1__GCA_002849675.1,GCA_002849675.1,Scaffold,144184,5538430,
Acridotheres tristis,Common myna,Acridotheres_tristis__Common_myna__HLacrTris1__GCA_027559615.1,GCA_027559615.1,Chromosome,7308823,75254055,
Acrocephalus arundinaceus,Great reed warbler,Acrocephalus_arundinaceus__Great_reed_warbler__HLacrAru2__GCA_021534815.1,GCA_021534815.1,Scaffold,6141892,21448883,
Acrocephalus familiaris kingi,Nihoa millerbird,Acrocephalus_familiaris_kingi__Nihoa_millerbird__HLacrFamKin1__GCA_022441285.1,GCA_022441285.1,Scaffold,102588,3600977,
Acrocephalus melanopogon,Moustached warbler,Acrocephalus_melanopogon__Moustached_warbler__HLacrMela1__GCA_045783595.1,GCA_045783595.1,Scaffold,137750,7134027,
Acrocephalus paludicola,aquatic warbler,Acrocephalus_paludicola__aquatic_warbler__HLacrPalu1__GCA_965285925.1,GCA_965285925.1,Chromosome,27615808,76810945,
Acrocephalus schoenobaenus,Sedge warbler,Acrocephalus_schoenobaenus__Sedge_warbler__HLacrScho1__GCA_045838425.1,GCA_045838425.1,Scaffold,155472,15450051,
Acrocephalus scirpaceus scirpaceus,Eurasian reed warbler,Acrocephalus_scirpaceus_scirpaceus__Eurasian_reed_warbler__HLacrSciSci1__GCA_910950805.1,GCA_910950805.1,Chromosome,12742779,74438198,
Actinemys marmorata,Northwestern pond turtle,Actinemys_marmorata__Northwestern_pond_turtle__HLactMarm2__GCA_022086475.1,GCA_022086475.1,Scaffold,75081387,146229595,
Actinemys pallida,Southwestern pond turtle,Actinemys_pallida__Southwestern_pond_turtle__HLactPall1__GCA_023634205.1,GCA_023634205.1,Scaffold,93983910,140349533,
Actitis hypoleucos,Common sandpiper,Actitis_hypoleucos__Common_sandpiper__HLactHypo1__GCA_045788345.1,GCA_045788345.1,Scaffold,214846,20815268,
Addax nasomaculatus,Addax,Addax_nasomaculatus__Addax__HLaddNas1__GCA_019593525.1,GCA_019593525.1,Scaffold,17026,20757513,13806.0
Aegithalos caudatus,Northern long-tailed tit,Aegithalos_caudatus__Northern_long-tailed_tit__HLaegCau1__GCA_013389925.1,GCA_013389925.1,Scaffold,34055,311465,
Aegotheles albertisi,Mountain owlet-nightjar,Aegotheles_albertisi__Mountain_owlet-nightjar__HLaegAlbe1A__GCA_039906565.1,GCA_039906565.1,Chromosome,9620782,46898397,
Aegotheles bennettii,Bennetts owlet nightjar,Aegotheles_bennettii__Bennetts_owlet_nightjar__HLaegBen1__GCA_013398125.1,GCA_013398125.1,Scaffold,65833,324808,
Aepyceros melampus,impala,Aepyceros_melampus__impala__HLaepMel1__GCA_006408695.1,GCA_006408695.1,Scaffold,82459,344542,5165.0
Agapornis fischeri,Fischers lovebird,Agapornis_fischeri__Fischers_lovebird__HLagaFisc1__GCA_051622115.1,GCA_051622115.1,Chromosome,64946157,75117306,
Agapornis lilianae,Lilians lovebird,Agapornis_lilianae__Lilians_lovebird__HLagaLili1__GCA_035222285.1,GCA_035222285.1,Scaffold,15867,27332,
Agapornis nigrigenis,black-cheeked lovebird,Agapornis_nigrigenis__black-cheeked_lovebird__HLagaNigr1__GCA_035041115.1,GCA_035041115.1,Scaffold,66169,81463,
Agapornis personatus,Yellow-collared lovebird,Agapornis_personatus__Yellow-collared_lovebird__HLagaPers1__GCA_034783155.1,GCA_034783155.1,Scaffold,15928,27927,
